year;title;genre;mpa;runtime;gross;rating_count;rating;metacritic;poster_brightness
2006;Ice Age: The Meltdown;Animation;PG;91;195.33;244292;6.8;58;42.86610102754797
2006;Casino Royale;Thriller;PG-13;144;167.45;555687;8;NA;39.91137219738825
2006;The Pursuit of Happyness;Biography;PG-13;117;163.57;421512;8;NA;51.67886844070744
2006;Over the Hedge;Animation;PG;83;155.02;152573;6.7;NA;46.82983980996139
2006;Talladega Nights: The Ballad of Ricky Bobby;Sport;PG-13;108;148.21;159920;6.6;NA;67.07054222360343
2006;Click;Fantasy;PG-13;107;137.36;292610;6.4;45;67.37821307276513
2006;Mission: Impossible III;Thriller;PG-13;126;134.03;316324;6.9;NA;32.19943831699349
2006;The Departed;Thriller;R;151;132.38;1122377;8.5;NA;19.457627947865305
2006;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;Comedy;R;84;128.51;340358;7.3;NA;65.03478600375165
2006;The Devil Wears Prada;Comedy;PG-13;109;124.74;351953;6.9;NA;76.05296559072553
2006;The Break-Up;Romance;PG-13;106;118.7;120602;5.8;45;51.51592759275927
2006;Dreamgirls;Musical;PG-13;130;103.37;66141;6.5;NA;17.43241819498243
2007;Spider-Man 3;Sci-Fi;PG-13;139;336.53;477856;6.2;59;28.609049034262434
2007;Shrek the Third;Animation;PG;93;320.71;266749;6;58;62.53687485701136
2007;Transformers;Sci-Fi;PG-13;144;319.25;580612;7;NA;28.076216125448866
2007;Pirates of the Caribbean: At World's End;Fantasy;PG-13;169;309.42;572467;7.1;50;66.8394542690839
2007;Harry Potter and the Order of the Phoenix;Family;PG-13;138;292;475483;7.5;NA;14.88205940144938
2007;I Am Legend;Sci-Fi;PG-13;101;256.39;654886;7.2;NA;41.261167421834664
2007;The Bourne Ultimatum;Mystery;PG-13;115;227.47;589104;8;NA;48.06153566260521
2007;National Treasure: Book of Secrets;Mystery;PG;124;219.96;211050;6.5;48;26.079579969776063
2007;Alvin and the Chipmunks;Animation;PG;92;217.33;72417;5.2;NA;35.03394207104365
2007;Ratatouille;Animation;G;111;206.45;605624;8;NA;60.54294724628274
2007;The Simpsons Movie;Animation;PG-13;87;183.14;299644;7.3;NA;76.99695246957619
2007;Wild Hogs;Adventure;PG-13;100;168.27;111374;5.8;NA;37.069943873668166
2007;Knocked Up;Romance;R;129;148.73;339420;6.9;NA;69.06251106973083
2007;Juno;Comedy;PG-13;96;143.5;475978;7.4;NA;63.821134865950434
2007;Rush Hour 3;Crime;PG-13;91;140.13;146673;6.2;44;38.199770677435154
2007;Live Free or Die Hard;Thriller;PG-13;128;134.53;378634;7.1;NA;35.26423183392738
2007;Fantastic Four: Rise of the Silver Surfer;Family;PG;92;131.92;244160;5.6;45;24.002085247470188
2007;American Gangster;Biography;R;157;130.16;376597;7.8;NA;14.80595450980395
2007;Enchanted;Animation;PG;107;127.81;170069;7;NA;46.352871040460094
2007;Bee Movie;Animation;PG;91;126.63;133559;6.1;54;66.052770085211
2008;The Dark Knight;Crime;PG-13;152;534.86;2176706;9;NA;25.307383868263223
2008;Iron Man;Sci-Fi;PG-13;126;318.41;898867;7.9;NA;34.02889801706904
2008;Indiana Jones and the Kingdom of the Crystal Skull;Adventure;PG-13;122;317.1;406703;6.1;NA;28.20228487450208
2008;Hancock;Fantasy;PG-13;92;227.95;426710;6.4;49;35.682852499910446
2008;WALL·E;Animation;G;98;223.81;946106;8.4;NA;37.6461709638632
2008;Kung Fu Panda;Animation;PG;92;215.43;397649;7.5;NA;31.689982266312676
2008;Twilight;Fantasy;PG-13;122;191.47;405202;5.2;56;12.478822995144137
2008;Madagascar: Escape 2 Africa;Animation;PG;89;180.01;193319;6.6;NA;47.38427391927212
2008;Quantum of Solace;Thriller;PG-13;106;168.37;388465;6.6;58;43.56703465152421
2008;Horton Hears a Who!;Animation;G;86;154.53;124765;6.8;NA;49.03433127038939
2008;Sex and the City;Romance;R;145;152.65;112658;5.6;53;23.17200456036831
2008;Gran Torino;Drama;R;116;148.1;690563;8.1;NA;11.092006457755518
2008;Taken;Thriller;PG-13;90;145;549197;7.8;51;5.58392044859491
2008;Mamma Mia!;Musical;PG-13;108;144.13;202839;6.4;51;76.41778165093197
2008;Marley & Me;Family;PG;115;143.15;140748;7.1;53;86.30973885937306
2008;The Chronicles of Narnia: Prince Caspian;Family;PG;150;141.62;185717;6.5;NA;29.056848709425392
2008;The Incredible Hulk;Sci-Fi;PG-13;112;134.52;416278;6.7;NA;14.336812150767827
2008;Wanted;Fantasy;R;110;134.51;348890;6.7;NA;25.028354290950872
2008;Get Smart;Adventure;PG-13;110;130.32;195530;6.5;54;56.01651678506215
2008;The Curious Case of Benjamin Button;Fantasy;PG-13;166;127.51;558208;7.8;NA;29.918711374095984
2009;Avatar;Fantasy;PG-13;162;760.51;1079332;7.8;NA;19.250833564607937
2009;Transformers: Revenge of the Fallen;Sci-Fi;PG-13;149;402.11;373287;6;NA;35.77447321157793
2009;Harry Potter and the Half-Blood Prince;Family;PG;153;301.96;439845;7.6;NA;26.922608863763912
2009;The Twilight Saga: New Moon;Fantasy;PG-13;130;296.62;254898;4.7;44;12.280736427519026
2009;Up;Animation;PG;96;293;883787;8.2;NA;47.43045167967131
2009;The Hangover;Comedy;R;100;277.32;689686;7.7;NA;42.40350258514141
2009;Star Trek;Sci-Fi;PG-13;127;257.73;565272;7.9;NA;69.55714050329341
2009;The Blind Side;Sport;PG-13;129;255.96;277044;7.6;53;44.63712215224939
2009;Alvin and the Chipmunks: The Squeakquel;Animation;PG;88;219.61;41161;4.5;41;38.81924454853783
2009;Sherlock Holmes;Crime;PG-13;128;209.03;562569;7.6;57;37.49780296935126
2009;Monsters vs. Aliens;Animation;PG;94;198.35;140663;6.4;56;48.6925049768335
2009;Ice Age: Dawn of the Dinosaurs;Animation;PG;94;196.57;212674;6.9;50;73.54502257872846
2009;X-Men Origins: Wolverine;Sci-Fi;PG-13;107;179.88;450734;6.6;40;22.29571082992584
2009;Night at the Museum: Battle of the Smithsonian;Family;PG;105;177.24;167681;6;42;27.546520231855116
2009;2012;Sci-Fi;PG-13;158;166.11;337966;5.8;49;53.16395598940549
2009;The Proposal;Romance;PG-13;108;163.96;282031;6.7;48;78.4082534127015
2009;Fast & Furious;Thriller;PG-13;107;155.06;250865;6.6;46;35.13303047951855
2009;G.I. Joe: The Rise of Cobra;Sci-Fi;PG-13;118;152.27;194416;5.8;NA;20.443479714531126
2009;A Christmas Carol;Animation;PG;96;137.86;96389;6.8;55;32.60150782745758
2009;Angels & Demons;Mystery;PG-13;138;133.38;261198;6.7;48;16.19835186226977
2010;Toy Story 3;Animation;G;103;415;719003;8.3;NA;62.766322649489815
2010;Alice in Wonderland;Family;PG;108;334.19;368940;6.4;53;45.24824942096476
2010;Iron Man 2;Sci-Fi;PG-13;124;312.43;687289;7;57;11.83709852529379
2010;The Twilight Saga: Eclipse;Fantasy;PG-13;124;300.53;217731;5;58;14.782091328029653
2010;Harry Potter and the Deathly Hallows: Part 1;Family;PG-13;146;295.98;445827;7.7;NA;22.10113966972567
2010;Inception;Sci-Fi;PG-13;148;292.58;1925507;8.8;NA;24.729728522717355
2010;Despicable Me;Animation;PG;95;251.51;479866;7.6;NA;48.44952970855996
2010;Shrek Forever After;Animation;PG;93;238.37;174849;6.3;58;56.009460591431626
2010;How to Train Your Dragon;Animation;PG;98;217.58;634108;8.1;NA;26.600679356045774
2010;Tangled;Animation;PG;100;200.82;383289;7.7;NA;38.9030457199841
2010;The Karate Kid;Family;PG;140;176.59;152236;6.2;NA;45.69936069375327
2010;TRON: Legacy;Sci-Fi;PG;125;172.06;303621;6.8;49;30.049560018057253
2010;True Grit;Western;PG-13;110;171.24;294657;7.6;NA;28.027552498385216
2010;Clash of the Titans;Fantasy;PG-13;106;163.21;262659;5.8;NA;22.74463310835003
2010;Grown Ups;Comedy;PG-13;102;162;218016;5.9;NA;79.32902156784043
2010;Megamind;Animation;PG;95;148.42;216029;7.2;NA;52.56341392769769
2010;Little Fockers;Romance;PG-13;98;148.38;102303;5.5;NA;82.1730064284132
2010;The King's Speech;History;R;118;138.8;613144;8;NA;44.24084934335809
2010;The Last Airbender;Family;PG;103;131.56;141512;4.1;NA;23.758974522824364
2010;Shutter Island;Mystery;R;138;128.01;1054364;8.1;NA;17.618236756586942
2011;Harry Potter and the Deathly Hallows: Part 2;Fantasy;PG-13;130;381.01;719621;8.1;NA;39.73987200064871
2011;Transformers: Dark of the Moon;Sci-Fi;PG-13;154;352.39;374273;6.2;42;25.93044259606387
2011;The Twilight Saga: Breaking Dawn - Part 1;Adventure;PG-13;117;281.29;214155;4.9;45;20.75070502264758
2011;The Hangover Part II;Comedy;R;102;254.46;445822;6.4;44;41.81834838041668
2011;Pirates of the Caribbean: On Stranger Tides;Fantasy;PG-13;136;241.06;461420;6.6;45;26.69109065093856
2011;Fast Five;Thriller;PG-13;130;209.84;339512;7.3;NA;49.639318575296734
2011;Mission: Impossible - Ghost Protocol;Thriller;PG-13;132;209.4;440109;7.4;NA;33.13060496911322
2011;Cars 2;Animation;G;106;191.45;148179;6.1;57;33.73688013530161
2011;Sherlock Holmes: A Game of Shadows;Crime;PG-13;129;186.85;404950;7.5;48;19.28952752712276
2011;Thor;Fantasy;PG-13;115;181.03;712242;7;57;20.207860634416786
2011;Rise of the Planet of the Apes;Sci-Fi;PG-13;105;176.76;482941;7.6;NA;10.829274191815712
2011;Captain America: The First Avenger;Sci-Fi;PG-13;124;176.65;701524;6.9;NA;39.2819836913678
2011;The Help;Drama;PG-13;146;169.71;405737;8.1;NA;58.80761906260925
2011;Bridesmaids;Romance;R;125;169.11;257273;6.8;NA;40.96553484440831
2011;Kung Fu Panda 2;Animation;PG;90;165.25;239257;7.2;NA;45.84356775344535
2011;Puss in Boots;Animation;PG;90;149.26;138013;6.6;NA;43.435198529411736
2011;X: First Class;Sci-Fi;PG-13;131;146.41;626222;7.7;NA;44.755439388489954
2011;Rio;Animation;G;96;143.62;197669;6.9;NA;70.43076050362373
2011;The Smurfs;Animation;PG;103;142.61;80006;5.4;NA;38.61802626193433
2011;Alvin and the Chipmunks: Chipwrecked;Animation;G;87;133.11;29527;4.3;NA;56.92292412617221
2012;The Avengers;Sci-Fi;PG-13;143;623.28;1219021;8;NA;30.57540891074898
2012;The Dark Knight Rises;Adventure;PG-13;164;448.14;1441515;8.4;NA;18.617587661493488
2012;The Hunger Games;Sci-Fi;PG-13;142;408.01;813212;7.2;NA;14.524949263050585
2012;Skyfall;Thriller;PG-13;143;304.36;608130;7.7;NA;27.426165120911456
2012;The Hobbit: An Unexpected Journey;Family;PG-13;169;303;734519;7.8;58;37.419280490608394
2012;The Twilight Saga: Breaking Dawn - Part 2;Fantasy;PG-13;115;292.3;221005;5.5;52;14.428874016592886
2012;The Amazing Spider-Man;Sci-Fi;PG-13;136;262.03;540369;6.9;NA;23.14962793815935
2012;Brave;Animation;PG;93;237.28;353733;7.1;NA;34.01233050947703
2012;Ted;Comedy;R;106;218.82;551777;6.9;NA;68.6236673307503
2012;Madagascar 3: Europe's Most Wanted;Animation;PG;93;216.39;153905;6.8;60;46.383371576482006
2012;The Lorax;Animation;PG;86;214.03;93162;6.4;46;55.51096203714514
2012;Wreck-It Ralph;Animation;PG;101;189.42;361112;7.7;NA;31.2720324730643
2012;Lincoln;History;PG-13;150;182.21;235251;7.3;NA;48.69192966798853
2012;Men in Black 3;Adventure;PG-13;106;179.02;322782;6.8;58;22.413118885850288
2012;Django Unchained;Western;R;165;162.81;1271435;8.4;NA;45.44814536535039
2012;Ice Age: Continental Drift;Animation;PG;88;161.32;182568;6.6;49;54.973992302106026
2012;Snow White and the Huntsman;Adventure;PG-13;127;155.33;264642;6.1;57;43.27095087201103
2012;Les Misérables;Musical;PG-13;158;148.81;295331;7.6;NA;28.40500209162446
2012;Hotel Transylvania;Animation;PG;91;148.31;212273;7.1;47;35.302806331167304
2012;Taken 2;Thriller;PG-13;92;139.85;280173;6.2;45;16.76671455862265
2013;The Hunger Games: Catching Fire;Sci-Fi;PG-13;146;424.67;590260;7.5;NA;13.21249375764086
2013;Iron Man Three;Sci-Fi;PG-13;130;409.01;721475;7.2;NA;30.302030387912755
2013;Frozen;Animation;PG;102;400.74;545450;7.5;NA;77.57897401811506
2013;Despicable Me 2;Animation;PG;98;368.06;355343;7.3;NA;75.3937225296623
2013;Man of Steel;Sci-Fi;PG-13;143;291.05;665977;7.1;55;30.64113687617277
2013;Gravity;Sci-Fi;PG-13;91;274.09;736546;7.7;NA;20.069474922858056
2013;Monsters University;Animation;G;104;268.49;304801;7.3;NA;56.44245093318984
2013;The Hobbit: The Desolation of Smaug;Fantasy;PG-13;161;258.37;580138;7.8;NA;17.014140048706693
2013;Furious 6;Thriller;PG-13;130;238.68;355959;7.1;NA;46.58007173181086
2013;Oz the Great and Powerful;Family;PG;130;234.91;195009;6.3;44;40.62796844181459
2013;Star Trek Into Darkness;Sci-Fi;PG-13;132;228.78;453089;7.7;NA;44.66026075732693
2013;Thor: The Dark World;Fantasy;PG-13;112;206.36;565925;6.9;54;35.46636896080747
2013;World War Z;Horror;PG-13;116;202.36;572622;7;NA;28.432416007769294
2013;The Croods;Animation;PG;98;187.17;182524;7.2;55;47.0001638288254
2013;The Heat;Crime;R;117;159.58;157136;6.6;60;26.251620279080278
2013;We're the Millers;Crime;R;110;150.39;384606;7;44;51.69373506323141
2013;American Hustle;Crime;R;138;150.12;430686;7.2;NA;11.828300880537409
2013;The Great Gatsby;Romance;PG-13;143;144.84;451255;7.2;55;23.596713576321392
2013;The Conjuring;Mystery;R;112;137.4;417812;7.5;NA;53.89196227922489
2013;Identity Thief;Crime;R;111;134.51;119296;5.7;NA;34.24565353283868
2014;American Sniper;Biography;R;133;350.13;417080;7.3;NA;64.25488058638494
2014;The Hunger Games: Mockingjay - Part 1;Sci-Fi;PG-13;123;337.14;393026;6.6;NA;17.53793980685403
2014;Guardians of the Galaxy;Adventure;PG-13;121;333.18;997322;8;NA;28.41720083267419
2014;Captain America: The Winter Soldier;Sci-Fi;PG-13;136;259.77;699022;7.7;NA;36.22854983005488
2014;The Lego Movie;Animation;PG;100;257.76;313430;7.8;NA;55.45486818664694
2014;The Hobbit: The Battle of the Five Armies;Fantasy;PG-13;144;255.12;453357;7.4;59;26.57088138465263
2014;Transformers: Age of Extinction;Sci-Fi;PG-13;165;245.44;290148;5.6;NA;35.24227014970111
2014;Maleficent;Family;PG;97;241.41;326859;7;56;57.31040178033041
2014;X-Men: Days of Future Past;Sci-Fi;PG-13;132;233.92;638909;8;NA;41.589994558753645
2014;Big Hero 6;Animation;PG;102;222.53;388925;7.8;NA;77.63022372429658
2014;Dawn of the Planet of the Apes;Adventure;PG-13;130;208.55;399669;7.6;NA;47.88737599182334
2014;The Amazing Spider-Man 2;Sci-Fi;PG-13;142;202.85;401185;6.6;53;40.79489881922591
2014;Godzilla;Sci-Fi;PG-13;123;200.68;363506;6.4;NA;20.474356674774754
2014;22 Jump Street;Crime;R;112;191.72;331004;7;NA;52.49621948393456
2014;Teenage Mutant Ninja Turtles;Adventure;PG-13;101;191.2;195585;5.8;NA;10.649726688492557
2014;Interstellar;Sci-Fi;PG-13;169;188.02;1378805;8.6;NA;59.527499379876936
2014;How to Train Your Dragon 2;Animation;PG;102;177;290810;7.8;NA;32.82137383961213
2014;Gone Girl;Mystery;R;149;167.77;799614;8.1;NA;59.93540053067837
2014;Divergent;Mystery;PG-13;139;150.95;409937;6.7;48;36.69635649564375
2014;Neighbors;Comedy;R;97;150.16;274349;6.3;NA;53.907042076567166
2015;Star Wars: Episode VII - The Force Awakens;Sci-Fi;PG-13;138;936.66;827245;7.9;NA;22.396451602012217
2015;Jurassic World;Sci-Fi;PG-13;124;652.27;556745;7;59;18.278402066336305
2015;Avengers: Age of Ultron;Sci-Fi;PG-13;141;459.01;700847;7.3;NA;36.79489929893639
2015;Inside Out;Animation;PG;95;356.46;568186;8.2;NA;46.043455041193425
2015;Furious 7;Thriller;PG-13;137;353.01;345366;7.2;NA;37.0975649517565
2015;Minions;Animation;PG;91;336.05;202099;6.4;56;90.88643929404557
